"","adjClose","avg_price7"
"1",121.6825575,120.3352
"2",121.4383538,120.3352
"3",120.0560687,120.3352
"4",120.2910572,120.3352
"5",119.7611812,120.3352
"6",119.908625,120.3352
"7",119.2082672,120.335158657143
"8",118.5539856,119.888219814286
"9",117.7706907,119.364267942857
"10",117.4205118,118.987759814286
"11",118.765936,118.769885357143
"12",118.4986942,118.589530071429
"13",117.1901309,118.201173771429
"14",116.9597501,117.879957042857
"15",117.586386,117.741728528571
"16",117.309929,117.675905428571
"17",117.8444126,117.736462685714
"18",116.6648626,117.436309342857
"19",117.5956012,117.307296057143
"20",117.0611177,117.2888656
"21",118.0563629,117.445524571429
"22",117.4942337,117.432359957143
"23",116.8030911,117.359954542857
"24",114.7573092,116.918939771429
"25",115.5820726,116.764255485714
"26",116.6648626,116.631292828571
"27",116.5174189,116.553621571429
"28",116.1119486,116.2758481
"29",115.8262763,116.037568471429
"30",112.9511233,115.487287357143
"31",110.6473148,114.9001453
"32",113.6054049,114.6177642
"33",115.7986306,114.494016771429
"34",115.7525544,114.384750414286
"35",116.8675978,114.4927003
"36",118.4249723,114.863942585714
"37",119.4478633,115.7920483
"38",121.7055956,117.3718027
"39",120.4891847,118.355199814286
"40",115.3931603,118.297275485714
"41",115.3378689,118.2380347
"42",114.7296635,117.932615514286
"43",113.135428,117.176966328571
"44",113.6975573,116.355494042857
"45",113.3381631,115.160146542857
"46",112.7668186,114.056951385714
"47",111.7807886,113.540898285714
"48",109.1452317,112.656235828571
"49",105.6434427,111.358204285714
"50",106.3438005,110.387971785714
"51",106.5741814,109.370346657143
"52",106.9351987,108.455637457143
"53",110.8230782,108.177960257143
"54",105.056057,107.217284314286
"55",106.6760068,106.8645379
"56",106.5926951,107.000145385714
"57",107.3425004,107.1428168
"58",108.4533231,107.411265614286
"59",107.8423706,107.5408616
"60",106.4630991,106.918007442857
"61",104.2784811,106.806925171429
"62",97.90050744,105.553282405714
"63",95.45669749,103.962425604286
"64",96.03062256,102.346443055714
"65",101.5384518,101.358604298571
"66",104.5284162,100.885182241429
"67",104.8709199,100.65772807
"68",104.3803065,100.672274555714
"69",99.71485118,100.931466518571
"70",103.9915186,102.150726677143
"71",102.167918,103.027483168571
"72",101.1496638,102.971942025714
"73",103.963748,102.89127514
"74",101.9642672,102.47603904
"75",104.2044263,102.450913297143
"76",105.7225506,103.309156071429
"77",106.7408048,103.701911242857
"78",107.6387198,104.483454357143
"79",107.7590589,105.427653657143
"80",105.4541018,105.640561342857
"81",105.0190296,106.076955971429
"82",106.6482362,106.426071671429
"83",104.9727453,106.318956628571
"84",105.824376,106.188038228571
"85",106.4538422,106.01877
"86",106.1853934,105.793960642857
"87",104.0840871,105.598244257143
"88",100.9552699,105.017707157143
"89",102.10312,104.368404842857
"90",101.4366264,103.863245
"91",102.1771748,103.342216257143
"92",102.5474491,102.7841601
"93",103.0380624,102.334541385714
"94",102.5474491,102.115021671429
"95",101.3625715,102.173207614286
"96",103.7878678,102.413885871429
"97",103.3065113,102.681012285714
"98",103.4823915,102.867471814286
"99",102.0198083,102.792094557143
"100",103.5471895,102.864827
"101",102.7881273,102.8992096
"102",103.4268504,103.194106585714
"103",105.315249,103.4123039
"104",105.3059921,103.697944014286
"105",106.916685,104.188557371429
"106",110.2306394,105.361533242857
"107",106.7130342,105.813796771429
"108",106.0372837,106.277961971429
"109",110.4065197,107.275057585714
"110",111.5728835,108.169005371429
"111",110.6194274,108.928067557143
"112",112.1745792,109.6791953
"113",113.4612821,110.140715685714
"114",112.9336413,111.029373842857
"115",112.4152574,111.940512942857
"116",112.5454107,112.2460688
"117",112.0898742,112.319924614286
"118",108.557142,112.025312414286
"119",107.9435622,111.420881414286
"120",107.5809923,110.580840014286
"121",104.43872,109.367279828571
"122",106.1446577,108.471479871429
"123",105.6937696,107.492674
"124",109.0405685,107.0570589
"125",110.4257714,107.324005957143
"126",110.9091979,107.7476682
"127",109.468215,108.017271442857
"128",110.518738,108.885845442857
"129",109.7285216,109.397826
"130",109.523995,109.945001057143
"131",109.9795315,110.079138628571
"132",109.0870518,109.887892971429
"133",108.1016055,109.486808342857
"134",107.0975658,109.148144171429
"135",110.658188,109.1680656
"136",109.9609382,109.201267971429
"137",109.9144549,109.257047957143
"138",107.4880256,108.901118542857
"139",107.9993422,108.745731457143
"140",105.2196397,108.334022057143
"141",104.5688732,107.972780257143
"142",102.7188372,106.838587285714
"143",103.5090536,105.916889485714
"144",101.315041,104.688401785714
"145",98.57252516,103.414758865714
"146",99.78109144,102.240723042857
"147",99.68812481,101.45050663
"148",100.9710644,100.936533944286
"149",100.4318579,100.609822615714
"150",99.3069616,100.009523758571
"151",101.091921,99.9776494728571
"152",99.77179478,100.148973704286
"153",97.85668206,99.8740580785714
"154",97.94035203,99.6243762528571
"155",95.48603282,98.8408003128571
"156",93.61740341,97.8673068142857
"157",89.66632134,96.4900724914286
"158",90.14045119,94.9255768042857
"159",91.60002739,93.7581814628571
"160",92.9294503,93.0542912114286
"161",90.54020773,91.99712774
"162",92.5203971,91.5734654942857
"163",90.29849447,91.0993356457143
"164",89.86155128,91.1272256371429
"165",89.98240791,91.1046480257143
"166",89.52687139,90.8084828828571
"167",94.2867632,91.0023847257143
"168",92.44602379,91.2746441628571
"169",92.95734029,91.3370646185714
"170",86.84943224,90.8443414428571
"171",87.47230871,90.5030210757143
"172",90.49372441,90.57606629
"173",89.64772802,90.5933315228571
"174",87.83487859,89.6716337214286
"175",89.57335471,89.2612524242857
"176",90.28919781,88.8800892128571
